REGION,DISTRICT,MALE,FEMALE
ARUSHA,ARUSHA RURAL,32475,33698
ARUSHA,ARUSHA URBAN,36315,36993
ARUSHA,KARATU,23303,23181
ARUSHA,LONGIDO,10584,9045
ARUSHA,MERU,33854,34171
ARUSHA,MONDULI,13689,12888
ARUSHA,NGORONGORO,16017,12162
DAR ES SALAAM,ILALA,73129,78309
DAR ES SALAAM,KINONDONI,91554,93921
DAR ES SALAAM,TEMEKE,85118,88813
DODOMA,BAHI,15672,15967
DODOMA,CHAMWINO,26483,28264
DODOMA,CHEMBA,,
DODOMA,DODOMA URBAN,35137,36806
DODOMA,KONDOA,48859,55869
DODOMA,KONGWA,27169,30264
DODOMA,MPWAPWA,32176,31646
GEITA,BUKOMBE,39490,40178
GEITA,CHATO,39377,38393
GEITA,GEITA,115698,116328
GEITA,GEITA URBAN,,
GEITA,MBOGWE,,
GEITA,NYANG'HWALE,,
IRINGA,IRINGA RURAL,28608,28990
IRINGA,IRINGA URBAN,13115,13449
IRINGA,KILOLO,29161,30316
IRINGA,MUFINDI,32996,34659
KAGERA,BIHARAMULO,20620,20865
KAGERA,BUKOBA RURAL,27577,28264
KAGERA,BUKOBA URBAN,10377,10654
KAGERA,KARAGWE,58254,61567
KAGERA,KYERWA,,
KAGERA,MISSENYI,19480,19354
KAGERA,MULEBA,51631,51767
KAGERA,NGARA,34033,35002
KATAVI,MLELE,,
KATAVI,MPANDA RURAL,35791,35411
KATAVI,MPANDA URBAN,9376,9565
KATAVI,NSIMBO,,
KIGOMA,BUHIGWE,,
KIGOMA,KAKONKO,,
KIGOMA,KASULU,58799,60225
KIGOMA,KIBONDO,34281,34954
KIGOMA,KIGOMA RURAL,55053,55122
KIGOMA,KIGOMA URBAN,20765,20768
KIGOMA,UVINZA,,
KILIMANJARO,HAI,17866,17477
KILIMANJARO,MOSHI RURAL,38303,38332
KILIMANJARO,MOSHI URBAN,13585,13743
KILIMANJARO,MWANGA,13781,13230
KILIMANJARO,ROMBO,27554,26641
KILIMANJARO,SAME,29692,29578
KILIMANJARO,SIHA,8638,8678
LINDI,KILWA,18734,18970
LINDI,LINDI RURAL,17543,18427
LINDI,LINDI URBAN,6283,6462
LINDI,LIWALE,9339,9668
LINDI,NACHINGWEA,15684,16152
LINDI,RUANGWA,10928,11592
MANYARA,BABATI RURAL,29144,30074
MANYARA,BABATI URBAN,7910,8081
MANYARA,HANANG,26099,26670
MANYARA,KITETO,16823,17030
MANYARA,MBULU,28114,29437
MANYARA,SIMANJIRO,16528,13677
MARA,BUNDA,43433,42739
MARA,BUTIAMA,,
MARA,MUSOMA RURAL,49746,48706
MARA,MUSOMA URBAN,15894,16411
MARA,RORYA,32334,31840
MARA,SERENGETI,27962,27311
MARA,TARIME RURAL,43986,42706
MARA,TARIME TC,,
MBEYA,BUSOKELO,,
MBEYA,CHUNYA,23919,24366
MBEYA,ILEJE,14085,14695
MBEYA,KYELA,26803,26423
MBEYA,MBARALI,26174,26806
MBEYA,MBEYA RURAL,31876,33828
MBEYA,MBEYA URBAN,34366,36303
MBEYA,MBOZI,69952,72439
MBEYA,MOMBA,,
MBEYA,RUNGWE,39171,40258
MOROGORO,GAIRO,,
MOROGORO,KILOMBERO,38781,39342
MOROGORO,KILOSA,50740,53940
MOROGORO,MOROGORO RURAL,30269,31101
MOROGORO,MOROGORO URBAN,24316,25275
MOROGORO,MVOMERO,28934,29473
MOROGORO,ULANGA,23082,22909
MTWARA,MASASI,30091,32191
MTWARA,MASASI URBAN,,
MTWARA,MTWARA RURAL,22755,23119
MTWARA,MTWARA URBAN,8405,8685
MTWARA,NANYUMBU,15033,15714
MTWARA,NEWALA,17910,18524
MTWARA,TANDAHIMBA,21980,22729
MWANZA,ILEMELA,34923,36364
MWANZA,KWIMBA,40755,43045
MWANZA,MAGU,58405,59754
MWANZA,MISUNGWI,33284,34264
MWANZA,NYAMAGANA,36646,38017
MWANZA,SENGEREMA,75842,75419
MWANZA,UKEREWE,39612,40203
NJOMBE,LUDEWA,16326,16295
NJOMBE,MAKAMBAKO TC,,
NJOMBE,MAKETE,10530,10250
NJOMBE,NJOMBE RURAL,36221,38706
NJOMBE,NJOMBE URBAN,13557,13873
NJOMBE,WANGING'OMBE,,
PWANI,BAGAMOYO,26931,27509
PWANI,KIBAHA RURAL,6586,6863
PWANI,KIBAHA URBAN,10723,11019
PWANI,KISARAWE,11007,11187
PWANI,MAFIA,4284,4477
PWANI,MKURANGA,25027,25147
PWANI,RUFIJI,24858,25292
RUKWA,KALAMBO,,
RUKWA,NKASI,22837,24019
RUKWA,SUMBAWANGA RURAL,49698,49326
RUKWA,SUMBAWANGA URBAN,21371,22910
RUVUMA,MBINGA,48552,49264
RUVUMA,NAMTUMBO,20445,21171
RUVUMA,NYASA,,
RUVUMA,SONGEA RURAL,19956,20108
RUVUMA,SONGEA URBAN,19739,20782
RUVUMA,TUNDURU,36339,33716
SHINYANGA,KAHAMA DC,73794,75747
SHINYANGA,KAHAMA URBAN,,
SHINYANGA,KISHAPU,24812,25900
SHINYANGA,MSALALA,,
SHINYANGA,SHINYANGA RURAL,34362,36158
SHINYANGA,SHINYANGA URBAN,14686,15413
SHINYANGA,USHETU,,
SIMIYU,BARIADI RURAL,75089,79153
SIMIYU,BARIADI URBAN,,
SIMIYU,BUSEGA,,
SIMIYU,ITILIMA,,
SIMIYU,MASWA,31095,33992
SIMIYU,MEATU,30721,32209
SINGIDA,IKUNGI,,
SINGIDA,IRAMBA,41539,40906
SINGIDA,MANYONI,25158,24947
SINGIDA,MKALAMA,,
SINGIDA,SINGIDA RURAL,44844,46895
SINGIDA,SINGIDA URBAN,13385,14007
TABORA,IGUNGA,35226,35892
TABORA,KALIUA,,
TABORA,NZEGA,51661,50067
TABORA,SIKONGE,15929,15217
TABORA,TABORA URBAN,22901,23134
TABORA,URAMBO,47703,45939
TABORA,UYUI,38260,36122
TANGA,BUMBULI,,
TANGA,HANDENI,35554,35379
TANGA,KILINDI,39676,40330
TANGA,KOROGWE RURAL,25306,25000
TANGA,KOROGWE URBAN,6240,6057
TANGA,LUSHOTO,69395,70238
TANGA,MKINGA,12799,12568
TANGA,MUHEZA,19672,19650
TANGA,PANGANI,4903,4925
TANGA,TANGA URBAN,26555,26487
